apiAccessPermissions,apiApplicationScenarios,apiBuyPermissions,apiUpdateRequency,auditOpinion,auditStatus,buyCount,code,collCount,collectTime,commentNum,commodityAttribute,commodityType,companyName,cplb,createTime,createTime_begin,createTime_end,dataAcquisition,dataArea,dataClassification,dataFormat,dataIndustry,dataIntroduce,dataPermission,dataPrice,dataSector,dataSource,dataStartTime,dataType,dataUrl,dateEndTime,deleted,deliveryMethod,downCount,effectiveDes,finishTime,freeCount,homeUrl,id,industryName,industryType,isDeleted,isFace,jfxt,keys,logoUrl,longTime,name,notes,pageUrl,periodValidity,productCommitment,productReviewReports,productStatus,publishType,replaceTime,sectorName,supplierIntroduce,tenantId,updateBy,updateTime,version,viewCount
,,,,同意,1,0,,1,2021-12-15 14:29:48,,1,2,,,2021-12-15 14:44:32,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639550640055_1639550591.jpg,1471008251759947778,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639550637356_1639550591.jpg,,"2,000人电动自行车进电梯数据","2,000人电动自行车进电梯数据，2,000人，每人1张照片，4段视频。数据涵盖不同类型的电梯、不同类型的电动自行车、多年龄段。数据可用于电动车检测、电动车识别等任务。",,30,,,0,,,人工智能,,,15770576680,2026-01-25 00:16:49,876,872
,,,,同意,1,1,,0,2021-12-15 14:57:14,,1,2,,,2021-12-15 14:59:07,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,2,https://www.datatang.com,2021-12-16,0,,1,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551536898_1639551528(1).jpg,1471011921864028162,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551534748_1639551528(1).jpg,,"15类167,419张场景分类数据","15类167,419张场景分类数据。数据涵盖简多种场景、不同拍摄角度。数据可用于场景分类等任务。",,30,,,0,,,人工智能,,,zkgj,2026-01-25 00:16:49,865,862
,,,,同意,1,0,,0,2021-12-15 15:01:01,,1,2,,,2021-12-15 15:03:12,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551777818_1639550591.jpg,1471012950508695554,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551774891_1639550591.jpg,,"10,000人人体行为识别数据","10,000人人体行为识别数据。数据包括室内场景和室外场景。数据涵盖男性女性，年龄分布为儿童至老人。数据多样性包括不同拍摄高度、不同年龄段、不同光照、不同采集环境、不同季节服饰、多种人体行为 。在标注方面，标签标注被采集人的性别、年龄、人种、采集场景、服饰类别。数据可用于人体行为识别等任务。",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:48,813,812
,,,,同意,1,0,,0,2021-12-15 15:04:32,,1,2,,,2021-12-15 15:06:21,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551864392_1639551857(1).jpg,1471013741076279297,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639551862169_1639551857(1).jpg,,"25,998人多人种7种表情识别数据","25,998人多人种7种表情识别数据。数据涵盖男性女性，年龄分布为少年到老人，以中青年为主，每人7张照片。数据多样性包括脸部不同姿态，不同表情，不同光照，不同场景。数据可用于人脸表情识别。",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:48,814,813
,,,,同意,1,0,,0,2021-12-15 15:07:43,,1,2,,,2021-12-15 15:10:13,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,2,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552050602_1639552042(1).jpg,1471014717325701121,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552047783_1639552042(1).jpg,,"466人18,880张3D人体实例分割及人体22关键点标注数据","466人18,880张3D人体实例分割及人体22关键点数据。数据多样性包括多种场景、多种光照、多年龄段、多种拍摄角度、多姿态。 在标注方面，对人体进行实例分割标注，对人体进行22关键点标注。数据可用于人体实例分割、人体行为识别等任务。",,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:48,823,822
,,,,1,1,0,,0,,,1,1,,,2021-12-15 15:12:16,,,,all,2,,1452570030065696770,,2,0.0,"1452570435235463169,1452570235813085186",,2021-12-15,,,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555962994_情感分析.png,1471015232394620930,软件信息服务,,0,1,API,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639555958854_情感分析.png,,面向短文本的情感分析【小于200字】,"面向短文本的情感分析【小于200字】
情感分析(Sentiment Analysis)是指对带有情感色彩的主观性文本进行分析、处理和抽取的过程。",,30,,,0,,,"人工智能,城市管理",,,admin,2026-01-25 00:16:47,818,817
,,,,同意,1,0,,0,2021-12-15 15:11:33,,1,2,,,2021-12-15 15:12:57,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552282235_1639552272(1).jpg,1471015405275443201,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552278150_1639552272(1).jpg,,24小时中文女声通用合成库,中文女声通用合成库，由中文母语发音人录制，声音温柔亲切。涵盖日常口语、有声读物、新闻、广告、客服、电影解说，语料音素覆盖均衡，专业语音学家参与标注，精准匹配语音合成的研发需求。,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:47,811,810
,,,,同意,1,0,,0,2021-12-15 15:13:44,,1,2,,,2021-12-15 15:15:12,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552417028_1639552409(1).jpg,1471015968771796993,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552414466_1639552409(1).jpg,,"1,025小时重口音普通话手机采集语音数据",2000余名中国本土发音人参与录制，南方为主，并覆盖部分北方重口音省份，男女均衡。语音均采用较重口音的普通话录制，富有地域特点。录音内容丰富，涵盖手机语音助手交互、智能家居命令、车载命令词、数字等多种类别，精准匹配智能家居、智能车载等实际应用场景。,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:46,807,806
,,,,同意,1,0,,0,2021-12-15 15:18:05,,1,2,,,2021-12-15 15:18:04,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552556919_1639552539(1).jpg,1471016693006462977,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552554609_1639552539(1).jpg,,500小时闽南语自然对话手机采集语音数据,500小时闽南语自然对话手机采集语音数据,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:46,801,800
,,,,同意,1,0,,0,2021-12-15 15:18:35,,1,2,,,2021-12-15 15:20:38,,,,all,2,,1452570030065696770,,2,,1452570235813085186,,2021-12-15,1,https://www.datatang.com,2021-12-16,0,,0,,,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552705842_1639552539(1).jpg,1471017336756629505,软件信息服务,,0,1,数据集,,http://www.bigdatadex.com.cn/oss/bdup.prod/commodity/1639552703444_1639552539(1).jpg,,300小时韩语自然对话手机采集语音数据,300小时韩语自然对话手机采集语音数据,,30,,,0,,,人工智能,,,sjt,2026-01-25 00:16:46,796,795
