applicationType,categoryLabels,categoryName,categoryNames,companyName,componentCode,componentId,componentName,createId,createTime,cycle,dataFrequency,dataProductClassification,description,downDate,downPerson,id,identificationStatus,keyword,logo,merchantId,saleType,serviceType,status,upPerson,updateId,updateTime
1,"[""其他""]",社会应用,"[""社会应用"",""其他""]",江苏精益智能制造有限公司,JSDE.09.11.293973,1768820651697,花卉租赁全周期经营数据集,176835363493019,1768820651000,,4,1,本产品整合花卉租赁全流程核心数据，覆盖花卉品类、租赁客户、订单履约、养护服务、费用结算五大维度。数据源于租赁订单系统、养护台账、客户服务记录，经标准化清洗脱敏处理。可支撑客户分层管理、养护资源优化、租金定价调整等决策，助力提升租赁周转率、客户续约率及经营效益，适用于花卉租赁企业运营分析与管理决策。,,,5830,0,花卉租赁,3bf80d72548a8ecaad4736bcada94d46,176835534119639,,99,57,,176835363493019,1769163205000
1,"[""社会应用""]",金融服务,"[""金融服务"",""社会应用""]",江苏精益智能制造有限公司,JSDE.09.11.724363,1768819670323,富轩实业资产租赁运营数据集,176835363493019,1768819670000,,4,1,本产品整合了集团产业园资产租赁业务的核心要素，覆盖园区载体、租赁单元、客户合同、费用结算、配套服务及运营绩效六大维度。数据来源于合作产业园区的招商系统、及企业服务台账，经标准化清洗、脱敏与关联处理，为园区运营商、政府平台公司、投资机构及研究单位提供可量化、可追溯、可分析的高质量数据服务，助力实现“空间资产可视化、客户服务精细化、运营管理智能化”。,,,5829,0,园区租赁,3bf80d72548a8ecaad4736bcada94d46,176835534119639,,99,57,,176835363493019,1769163083000
1,[],现代农业,"[""现代农业""]",盐城市开新科技实业有限公司,JSDE.09.11.674933,1768971471341,阳光玫瑰全生命周期种植数据集,176826639773892,1768971471000,,4,1,本产品整合阳光玫瑰种植葡萄的全流程核心数据，涵盖植株基础信息、生育阶段、环境参数、生长指标、病虫害、农事管理等关键字段。数据基于实际种植场景采集与加工，为阳光玫瑰种植主体、农业监管部门及产销企业提供数据支撑,,,5853,0,阳光玫瑰种植,c4240f340a28b2dbd010a3185823ad9b,176847108230051,,3,57,,176826639773892,1769162713000
1,"[""社会应用""]",商贸流通,"[""商贸流通"",""社会应用""]",盐城市开新科技实业有限公司,JSDE.09.11.503996,1768971011172,盛州仓库租赁运营管理数据集,176826639773892,1768971011000,,4,1,本产品整合园区内各类仓库从招商签约、入库启用、日常运营到退租清仓的全生命周期数据，覆盖基础属性、库存状态、作业行为、环境监控、设备运行、安全合规六大维度。数据来源于智能仓储管理系统及人工巡检记录，经脱敏与标准化处理，为仓储运营商、物流平台、及监管机构提供精细化运营与决策支持,,,5852,0,仓库租赁,c4240f340a28b2dbd010a3185823ad9b,176847108230051,,99,57,,176826639773892,1769162631000
1,[],现代农业,"[""现代农业""]",蒙城县黄牛农牧产业发展集团有限公司,JSDE.09.11.386815,1769046780605,蒙城肉牛全产业链数据产品,176853358172651,1769046780000,,7,1,蒙城肉牛全产业链数据产品，扎根当地养殖实际，聚焦破解数据分散难题、推动数字化转型。产品整合三类核心数据：设备运行数据，场地管理数据，以及进出棚管理数据，构建“设备-场地-牛群”管理体系。通过数据清洗整合打破壁垒，以数据支撑养殖决策，助力产业智慧化、标准化发展，并挖掘数据价值匹配实际需求。,,,5869,0,行业数据、蒙城肉牛,e353f69e8abf2b5e1d8e0debb7343f77,176853540576250,,99,60,,0,1769161548000
1,[],现代农业,"[""现代农业""]",湖南慧光信息数字科技有限公司,JSDE.09.11.470511,1769150885054,溆浦鹅产销数据产品,176913186315705,1769150885000,,7,1,溆浦鹅产销数据产品立足产业全链条，融合养殖、加工、销售核心数据，以标准化维度构建综合性数据服务体系。其贯通鹅类从养殖源头到消费终端的全生命周期，为产业各方、监管及研究机构提供精准动态的数据支撑。产品打破环节信息壁垒，凭数据完整性、实时性与可追溯性，为溆浦鹅产业高质量发展注入数据动能。,,,5878,0,溆浦鹅,b313d62eb3236351c430a36ab5041c2d,176913296300222,,99,55,,0,1769158304000
1,"[""应急管理"", ""金融服务"", ""交通运输""]",绿色低碳,"[""绿色低碳"",""应急管理"",""金融服务"",""交通运输""]",航天锂电科技（江苏）有限公司,JSDE.010.11.150453,1768810686223,动力储能数据分析平台,175488356117624,1768810686000,,2,3,本产品面向商用车及储能行业，基于自主BMS采集的电芯模块级高精度数据（涵盖电压、温度、SOC等），独立于T-BOX数据体系。提供电池全生命周期健康监测、热失控安全预警、智能充放电调度及资产残值评估服务。通过SaaS模式交付，赋能零碳矿山与绿色运力场景，实现能源微网协同与降本增效 。,,,5828,0,电池分析、能源管理、安全预警、绿色低碳,6add5037d5613265bd4f76cd04e2e162,175488356123397,,4,55,,0,1769158079000
1,"[""社会应用""]",商贸流通,"[""商贸流通"",""社会应用""]",盐城瑞海农业产业集团有限公司,JSPTZJ202601210023,1768988130691,农贸市场运营数据集,176835955846942,1768988130000,,4,1,本产品系统整合盐城瑞海农业集团农贸市场租赁业务核心要素，覆盖摊位基础、商户档案、租赁协议、缴费履约、物业服务、运营核算六大维度。数据来源于集团农贸市场运营台账、租赁管理系统、财务收费系统及物业服务记录，经标准化清洗、脱敏与关联处理，为集团市场运营部门、财务部门、招商部门及监管人员提供可量化、可追溯、可分析的高质量数据服务，助力实现“租赁流程规范化、资源配置合理化、费用收缴精准化、运营决策科学化”,,,5865,0,农贸市场租赁；摊位管理,a0a9a99da15e8c6e648970229d844506,176837575042671,,99,55,,0,1769157825000
1,[],现代农业,"[""现代农业""]",盐城瑞海农业产业集团有限公司,JSPTZJ202601210024,1768988626698,蟹苗养殖全流程管理数据集,176835955846942,1768988626000,,4,1,本产品系统整合盐城瑞海农业蟹苗养殖业务核心要素，覆盖种质基础、孵化培育、养殖环境、饲喂管护、质量检测、销售结算六大维度。数据来源于集团育苗基地的养殖台账、环境监测设备、饲喂记录及销售系统，经标准化清洗、脱敏与关联处理，为集团养殖管理部门、品质管控部门、市场销售部门及合作客户提供可量化、可追溯、可分析的高质量数据服务。,,,5867,0,蟹苗养殖,a0a9a99da15e8c6e648970229d844506,176837575042671,,99,55,,0,1769157284000
1,"[""绿色低碳""]",城市治理,"[""城市治理"",""绿色低碳""]",盐城市大数据集团有限公司,JSDE.09.11.627795,1768977945647,盐城绿色数据中心数据,176109597932688,1768977945000,,7,1,"本数据产品旨在整合楼宇能源管理与控制的多维度数
据资源，涵盖楼宇能源监控、能源管理以及可视化控制等多
个子系统，构建一个全面、智能的楼宇自控数据产品体系。
通过对空调机组、冷热源系统、送排风系统、给排水系统、
公共区域照明、电梯等关键设备的实时监控与数据采集，结
合智能控制算法与自适应性调整机制，实现对楼宇能源使用
的高效管理和优化控制。",,,5855,0,企业能源管理、能源监控、可视化中控。,de839120ca0cc7be660f0ba7534ab339,176889673556680,,99,18,,0,1769152279000
