title,detail_url,org,price,delivery,scenarios,tags,cert_img
铁路及周边构筑物高精度点云信息采集系统,https://dex.hubei-data.com/product/detail/1779,武汉纵横天地空间信息技术有限公司,面议,线下交付,智慧交通，公共安全，应急管理,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/11/26/productCertificate_20251126153809A004.png
低空城市空间数字孪生一张图,https://dex.hubei-data.com/product/detail/939,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务，智慧文旅,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180908A011.png
全国低空孪生底座一张图,https://dex.hubei-data.com/product/detail/938,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180819A010.png
全国低空障碍物模型服务,https://dex.hubei-data.com/product/detail/937,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，智慧物流，应急管理,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180732A012.png
全国低空地物覆盖矢量服务,https://dex.hubei-data.com/product/detail/936,中科星图数字地球合肥有限公司,面议,下载地址,智慧城市，数字政务，智慧能源，农业农村,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/10/02/productCertificate_20251002150859A266.png
全国低空道路模型服务,https://dex.hubei-data.com/product/detail/935,中科星图数字地球合肥有限公司,面议,下载地址,智慧交通，智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180719A011.png
全国低空树木模型服务,https://dex.hubei-data.com/product/detail/934,中科星图数字地球合肥有限公司,面议,下载地址,智慧城市，数字政务,"['互联互通', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/09/07/productCertificate_20250907180802A013.png
热力管网巡检数据集,https://dex.hubei-data.com/product/detail/1836,随州聚鑫大数据运营有限公司,面议,下载地址,科学实验，低空经济，公共安全,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/30/productCertificate_20251230173431A112.png
城市活动特征分析算法模型,https://dex.hubei-data.com/product/detail/1835,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094314A115.png
城市货车运行特征分析算法模型,https://dex.hubei-data.com/product/detail/1834,武汉市规划研究院（武汉市交通发展战略研究院）,面议,线下交付,智慧交通，智慧城市,"['合规认证', '可交易']",https://dex.hubei-data.com/file/sjjy-prod/tmp/upload/2025/12/31/productCertificate_20251231094515A119.png
