applyState,attribute,attribute_dictText,auditBy,auditName,auditTime,batchNumber,boutique,browse,caseTime,category,category_dictText,contractModleName,contractModleUrl,createBy,createName,createTime,delFlag,description,frozenStatus,fwType,fwTypeName,fwType_dictText,hwPrice1,hwPrice2,hwPrice3,hwPriceList,id,introduction,label,labelIds,level,logo,logoUrl,name,negotiation,negotiation_dictText,newProduct,opinion,outTime,price,purchase,realNameType,scene,sceneName,scene_dictText,serviceDescription,serviceFeeRatio,serviceName,serviceNote,serviceState,shelf,shelfApplyFileName,shelfApplyFileUrl,shelfTime,source,status,subject,subjectName,supplierId,themeId,themeId_dictText,totalPrice,tradeUserType,type,updateBy,updateTime,url,violationStatus,warnProcessTime
,3,数据报告,,,,,,1434,,3,数据报告,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1738017350202544130,小流域监测数据数据量查询服务是用于查询小流域监测数据的数据量的服务。通过该服务，您可以了解小流域监测数据的具体数据量，包括数据的总量、数据的频率、数据的范围，为政府、企业和研究机构提供决策支持和科学依据。,,水纹数据,,,https://s-minio.hunandex.com/hunan/商品审核/8595f9224b274c6cb02383a9f9ff3f4a.webp,小流域监测数据数据量,,,,,,1980元,,,1042,,城市治理,,,,,,,,,,,,,,,,,1980,,03,,,,,
,3,数据报告,,,,,,1117,,3,数据报告,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1738022489818779649,主要用于查询遥测信息表中的数据量。遥测信息表通常记录了各种传感器、设备或系统在不同时间点的数据，这些数据可以用于监测、分析、预测和决策等应用。,,空天数据,,,https://s-minio.hunandex.com/hunan/商品审核/f7b39d7f85fc4c33898fb2e503711870.webp,遥测信息表数据量,,,,,,10000元,,,1048,,卫星遥感,,,,,,,,,,,,,,,,,10000,,03,,,,,
,2,数据集,,,,,,1080,,2,数据集,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1793887068298223618,真实、完整、可溯源、标准化的TMAO数据库，包含不少于3000篇文献及专利。具体包括：1.总库①文献总库②专利总库2.子库①疾病库②影响因素库③检测检验库,,生物标志物信息,,,https://s-minio.hunandex.com/hunan/商品审核/f511e402297d4fa4a3cfa3a658c595ce.png,肠道菌群代谢产物TMAO数据库,,,,,,99999元,,,1044,,医疗健康,,,,,,,,,,,,,,,,,99999,,02,,,,,
,3,数据报告,,,,,,813,,3,数据报告,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1805855188650278913,人类白细胞抗原（HLA）基因-药物/疾病关联数据分析报告，基于PharmGKB数据库、PubMed数据库、NICE和NGC数据库、FDA和NMPA官网等数据源，通过人工筛选、录入、双人审核与校对等方法，总计分析约6000篇文献的数据，展示了HLA基因与药物疗效、不良反应之间的关联信息，以及HLA不同等位基因对自身免疫性疾病、病毒感染性疾病、肿瘤或癌症及移植等疾病的影响。,,生物标志物信息,,,https://s-minio.hunandex.com/hunan/商品审核/203859d213d94b449afb630c16bc9ea3.png,HLA基因-药物/疾病关联数据分析报告,,,,,,0元,,,1044,,医疗健康,,,,,,,,,,,,,,,,,0,,03,,,,,
,1,API,,,,,,409,,1,API,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1882683093826621442,行业通用高精地图产品具有高精度、多维度信息、动态更新等特点，利用先进的技术手段，提取有价值的信息和规律，为用户提供定制化服务和一站式解决方案。行业通用高精度地图产品包含1:2000比例尺、1:5000比例尺、1:10000比例尺、1:100000比例尺地图产品，主要包含路网、水系、房屋、植被、POI、AOI、标准地址的地图数据，可以展示图例、调用分析等。能够实现资源一张图、网格一张图的基础能力建设；5G无线应用、业务专项。,,地图信息,,,https://s-minio.hunandex.com/hunan/商品审核/b19cd8aaf855477a9e43b8d534246114.png,行业通用高精地图产品,,,,,,10000000.00元/次,,,1046,,交通运输,,,,,,,,,,,,,,,,,10000000,,01,,,,,
,1,API,,,,,,361,,2,数据集,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1882684000068923393,基于地理信息技术和大数据分析能力，通过收集、处理和分析全国范围内的道路网络数据，为用户提供实时、准确的路况信息、路线规划、导航服务以及交通管理等功能。这些产品不仅覆盖了高速公路、国道、省道等主要道路，还涵盖了县道、乡道等各级道路，形成了完整的全国路网信息体系。,,地图信息,,,https://s-minio.hunandex.com/hunan/商品审核/c58d1a64007e47b58a40adaafc325662.png,全国路网数据集产品,,,,,,10000000.00元/次,,,1046,,交通运输,,,,,,,,,,,,,,,,,10000000,,02,,,,,
,1,API,,,,,,315,,1,API,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1882684006897250306,基于公开的水质自动监测与手工监测数据、雨量及水文、排污许可数据、排污自行监测数据等，结合自有的河网空间数据、地形数据、遥感土地分类等专题数据，建立“源-网-厂-口-断面”的水质污染网络拓扑关系模型，利用神经网络建模预测，实现对水质监测点的短临24小时、7天水质变化情况预测，含常规五参及其他重点监测项。,,水纹数据,,,https://s-minio.hunandex.com/hunan/商品审核/5583edd068634d25b33ac0fb219bd6a3.png,流域断面水质监测及预测服务,,,,,,250000.00元/次,,,1042,,城市治理,,,,,,,,,,,,,,,,,250000,,01,,,,,
,1,API,,,,,,355,,1,API,,,,长沙数据登记管理中心有限公司,2024-05-16,,,,,,,,,,,1882684010265276417,基于公开的水质自动监测与手工监测数据、雨量及水文，结合公司自有的河网空间数据、地形数据、遥感土地分类等专题数据，进行了整合清洗整合标准化数据结构。基于国家水环境评价标准，对监测数据进行评价计算、水质分析及水文统计，为科研机构、生态环境、水利及河流湖库监管部门提供数据支撑及监测服务。,,水纹数据,,,https://s-minio.hunandex.com/hunan/商品审核/323039ad14a440878a47eff1fcf359a1.png,流域水质与水文气象监测分析服务,,,,,,250000.00元/次,,,1042,,城市治理,,,,,,,,,,,,,,,,,250000,,01,,,,,
"<h3><strong style=""color: rgb(0, 122, 206);"">LawTrust法律合规智库</strong>是全面、权威、便捷的法律数据库。</h3><h3><br></h3><h3>1.4亿+裁判文书、300万+法规政策、近2000万行政处罚文书，可视化智能分析、一键生成检索报告，</h3><h3><br></h3><h3>为合规从业者带来高效便捷的检索体验，省时省力，高效高维。</h3><h3><br></h3><h3><strong>应用场景：</strong>对法律法规、类案同判、司法观点、公司主体等数据有需求的企业</h3><p><br></p><p><img src=""https://s-minio.hunandex.com/hunan/应用商品审核/71143e2145df4160ba76e617ee61c33b.png"" data-extentions-extra-ocr-id=""f564e8d30f5c47427e6e7419049631b2""></p><p><strong style=""color: rgb(0, 102, 204);""> </strong></p><h3><strong style=""color: rgb(0, 102, 204);"">       北京合规科技有限公司（iLaw）</strong>，其总公司为北京新橙科技有限公司（iCourt），总部位于北京DayOne法律</h3><h3><br></h3><h3>科技大楼，并在深圳、郑州、海南、武汉等多地设有办公室。</h3><h3><br></h3><h3>        团队由800多名员工组成，包括法律专家、技术专家、数据运营官等，共同打造优质的合规数字化体系。</h3><h3><br></h3><h3>        公司成立10年以来，建立了坚实的法律合规技术中台，研发了中国第一个智能化的法律操作系统Alpha，用</h3><h3><br></h3><h3>户超过15w+法律合规专业人士。</h3><p><br></p><h3><span style=""color: rgb(230, 0, 0);"">        2018年公司被评为中国大数据100强，是法律行业唯一入选的企业。</span></h3><p><br></p><h3>        在多年的法律合规大数据积累的基础上，公司打造了强大的企业合规产品的研发中台，旨在帮助企业法务部</h3><h3><br></h3><h3>加速数字化建设，助力企业合规经营、行稳致远、科学决策。</h3><p><br></p>",,,1726865221964046338,数据交易,2025-02-24,20250106163705555676,1,460,,,,附件.docx,https://s-minio.hunandex.com/hunan/合同/8349edf789d144db8c56ea6fa023b6cd.docx,8a69f1049405ec630194164610bb0006,北京合规科技有限公司,2025-01-06,1,一次性解决法规订阅难题，洞察监管趋势，致力于保障企业合规管理体系的规范落地与有效实施,1,1059,,数据分析服务,,,,[],1876186212997836801,一次性解决法规订阅难题，洞察监管趋势，致力于保障企业合规管理体系的规范落地与有效实施,"政策分析,合规指南","政策分析,合规指南",,https://s-minio.hunandex.com/hunan/应用商品审核/4c113906e2ec44499b70d6d0df65d24a.png,https://s-minio.hunandex.com/hunan/应用商品审核/4c113906e2ec44499b70d6d0df65d24a.png,LawTrust 合规智库,1,是,1,1,2035-01-31,,,,1038,金融服务,金融服务,,0.05,,,,2,3数据产品上架申请表.pdf,https://s-minio.hunandex.com/hunan/合同/a75811d58b5f4020bfbef221b9e57382.pdf,2025-02-24,1,2,0,,8a69f1fe94031e810194164e4d370028,,,面议,3,3,8a69f1049405ec630194164610bb0006,2026-01-14 16:43:54,,1,
<p>通过百科数据、词库数据、书稿数据三个维度提供知识语料数据集，帮助出版行业更加高效准确的完成选题、撰写、审校等工作</p>,,,1726865221964046338,数据交易,2025-02-28,20240625121008941139,2,333,2024-06-25,,,标注知识语料数据采购协议_LegalClean.docx,https://s-minio.hunandex.com/hunan/合同/1c25f93df111492d8d2fb4ed22ef767e.docx,8a69d8ad8f99fa4801902938d668004b,武汉理工数字传播工程有限公司,2024-06-25,1,从以下三个维度形成知识语料数据集：百科数据（包括法律、审校国际、农业、医疗卫生、计算机、历史、古诗词、历史人名及相关历史事件、地名、古代官职）、词库数据（包括合规风险、首选词等）以及书稿数据（包括红样书稿、书稿案例、企业知识库三个方面），并通过API接口的形式提供，数据内容实时更新。,1,1059,,数据分析服务,,,,"[{""unit"": ""元/天"", ""total"": 0, ""seqNo"": null, ""price"": 750000.0, ""limitCount"": 1, ""effectiveTime"": 1095, ""priceType"": ""1"", ""id"": 2981}]",1805453398972809218,从以下三个维度形成知识语料数据集：百科数据（包括法律、审校国际、农业、医疗卫生、计算机、历史、古诗词、历史人名及相关历史事件、地名、古代官职）、词库数据（包括合规风险、首选词等）以及书稿数据（包括红样书稿、书稿案例、企业知识库三个方面），并通过API接口的形式提供，数据内容实时更新。,"数据存储,数据中心,数据仓库","数据存储,数据中心,数据仓库",,https://s-minio.hunandex.com/hunan/应用商品审核/c4ce4c36c5c14824ab5deab0b8433c95.png,https://s-minio.hunandex.com/hunan/应用商品审核/c4ce4c36c5c14824ab5deab0b8433c95.png,Rays出版融合数据服务,2,否,2,通过,2037-06-29,,,,1051,数据集成,数据集成,,0.0,,,,2,1.数据产品登记申请表（普通）(2)(2).docx,https://s-minio.hunandex.com/hunan/合同/0315799ff4e34b518b336ddebaa370a2.docx,2025-02-28,1,2,0,,8a69f5858f9a1b9101902a52737a0046,,,750000,3,3,8a69d8ad8f99fa4801902938d668004b,2026-01-24 23:18:51,,1,
